Frame Number,Moods
135,"[['calm', 0.5502169132232666], ['sad', 0.35109755396842957], ['serious', 0.11507268249988556], ['angry', 0.10266587883234024], ['happy', 0.0690145492553711]]"
136,"[['calm', 0.5451111793518066], ['sad', 0.3513343632221222], ['serious', 0.1121588945388794], ['angry', 0.09249275177717209], ['happy', 0.06664638966321945]]"
137,"[['calm', 0.5504084229469299], ['sad', 0.3573683202266693], ['serious', 0.10974098742008209], ['angry', 0.08751679956912994], ['happy', 0.0673595443367958]]"
138,"[['calm', 0.5586404204368591], ['sad', 0.35364124178886414], ['serious', 0.11119100451469421], ['angry', 0.08880151808261871], ['happy', 0.06891822814941406]]"
139,"[['calm', 0.5590924620628357], ['sad', 0.3538900911808014], ['serious', 0.11039217561483383], ['angry', 0.09047041088342667], ['happy', 0.06747442483901978]]"
140,"[['calm', 0.5657923817634583], ['sad', 0.3601070046424866], ['serious', 0.11170203983783722], ['angry', 0.09032159298658371], ['happy', 0.06865329295396805]]"
141,"[['calm', 0.5639442801475525], ['sad', 0.3551066517829895], ['serious', 0.11231204122304916], ['angry', 0.09474322199821472], ['happy', 0.07179465144872665]]"
142,"[['calm', 0.5608642101287842], ['sad', 0.35430753231048584], ['serious', 0.10557658970355988], ['angry', 0.092167928814888], ['happy', 0.0696369856595993]]"
143,"[['calm', 0.5539373159408569], ['sad', 0.3614029586315155], ['serious', 0.10444474220275879], ['angry', 0.09163116663694382], ['happy', 0.07151862233877182]]"
144,"[['calm', 0.5602320432662964], ['sad', 0.36761096119880676], ['serious', 0.1060727909207344], ['angry', 0.09666956216096878], ['happy', 0.07319125533103943]]"
145,"[['calm', 0.5607765913009644], ['sad', 0.3817278742790222], ['serious', 0.10785133391618729], ['angry', 0.09950236231088638], ['happy', 0.07524711638689041]]"
146,"[['calm', 0.564922034740448], ['sad', 0.3926984667778015], ['serious', 0.11437194794416428], ['angry', 0.10182029008865356], ['happy', 0.07740733027458191]]"
147,"[['calm', 0.5684608817100525], ['sad', 0.40446919202804565], ['serious', 0.1171492263674736], ['angry', 0.10328418761491776], ['happy', 0.08011402934789658]]"
148,"[['calm', 0.5790608525276184], ['sad', 0.41074180603027344], ['serious', 0.12170562893152237], ['angry', 0.11204640567302704], ['happy', 0.08047491312026978]]"
149,"[['calm', 0.5705476999282837], ['sad', 0.39572691917419434], ['serious', 0.12309940904378891], ['angry', 0.11402309685945511], ['happy', 0.08554461598396301]]"
150,"[['calm', 0.5674610137939453], ['sad', 0.40344226360321045], ['serious', 0.12196983397006989], ['angry', 0.11499402672052383], ['happy', 0.08458729833364487]]"
151,"[['calm', 0.5467966198921204], ['sad', 0.42712080478668213], ['serious', 0.12116178125143051], ['angry', 0.1115766316652298], ['happy', 0.08392971754074097]]"
152,"[['calm', 0.5469236373901367], ['sad', 0.42401862144470215], ['serious', 0.12438322603702545], ['angry', 0.11482503265142441], ['happy', 0.08474307507276535]]"
153,"[['calm', 0.5335372686386108], ['sad', 0.4371757507324219], ['serious', 0.1260555386543274], ['angry', 0.11435189843177795], ['happy', 0.0855473205447197]]"
154,"[['calm', 0.5198072791099548], ['sad', 0.43527936935424805], ['serious', 0.12017948925495148], ['angry', 0.1100054606795311], ['happy', 0.08644815534353256]]"
155,"[['calm', 0.5165264010429382], ['sad', 0.43103745579719543], ['serious', 0.11792502552270889], ['angry', 0.10676299035549164], ['happy', 0.08919671922922134]]"
156,"[['calm', 0.5041547417640686], ['sad', 0.4313088059425354], ['serious', 0.10961318016052246], ['angry', 0.10023297369480133], ['happy', 0.08877536654472351]]"
157,"[['calm', 0.5245542526245117], ['sad', 0.4384281039237976], ['serious', 0.10794595628976822], ['angry', 0.09369233250617981], ['happy', 0.08817096799612045]]"
158,"[['calm', 0.5191016793251038], ['sad', 0.4216494858264923], ['serious', 0.10239128768444061], ['angry', 0.09774254262447357], ['happy', 0.09532688558101654]]"
159,"[['calm', 0.5167186856269836], ['sad', 0.41780221462249756], ['happy', 0.09738051146268845], ['serious', 0.09418957680463791], ['angry', 0.09213469922542572]]"
160,"[['calm', 0.526679515838623], ['sad', 0.43052512407302856], ['happy', 0.09382808953523636], ['serious', 0.09069764614105225], ['angry', 0.08391613513231277]]"
161,"[['calm', 0.5284907817840576], ['sad', 0.43064141273498535], ['happy', 0.09583372622728348], ['serious', 0.087999626994133], ['angry', 0.08318312466144562]]"
162,"[['calm', 0.5266408920288086], ['sad', 0.4369853734970093], ['happy', 0.09479556232690811], ['serious', 0.08894720673561096], ['angry', 0.08572094142436981]]"
163,"[['calm', 0.5179402828216553], ['sad', 0.4409435987472534], ['happy', 0.09608080238103867], ['serious', 0.08744491636753082], ['angry', 0.08489982038736343]]"
164,"[['calm', 0.5101556181907654], ['sad', 0.43553876876831055], ['happy', 0.10029526054859161], ['angry', 0.08574976027011871], ['serious', 0.08563689142465591]]"
165,"[['calm', 0.5111618638038635], ['sad', 0.4315735399723053], ['happy', 0.10231311619281769], ['angry', 0.08818364143371582], ['serious', 0.08808402717113495]]"
166,"[['calm', 0.5149010419845581], ['sad', 0.4314984679222107], ['happy', 0.09885262697935104], ['serious', 0.08934827893972397], ['angry', 0.08366208523511887]]"
167,"[['calm', 0.5091689825057983], ['sad', 0.430963397026062], ['happy', 0.09548068791627884], ['serious', 0.08933607488870621], ['angry', 0.0827736109495163]]"
168,"[['calm', 0.5061540007591248], ['sad', 0.42646029591560364], ['happy', 0.09617756307125092], ['serious', 0.08948837965726852], ['angry', 0.08447158336639404]]"
169,"[['calm', 0.51511150598526], ['sad', 0.42705851793289185], ['happy', 0.10134103894233704], ['serious', 0.09510403126478195], ['angry', 0.08899843692779541]]"
170,"[['calm', 0.5113058090209961], ['sad', 0.43506571650505066], ['happy', 0.0984027311205864], ['serious', 0.09637891501188278], ['angry', 0.08749744296073914]]"
171,"[['calm', 0.5129334926605225], ['sad', 0.4337809681892395], ['serious', 0.09794015437364578], ['happy', 0.09781122952699661], ['angry', 0.08905774354934692]]"
